Question,Answer,Category,keywords,lastupdated
Are there any restrictions on the use of campus facilities?,"Yes, students must follow the rules and regulations governing the use of all campus facilities, such as the library, labs, and sports complex.",General,"there, any, restrictions, use, campus, facilities, yes, students, must, follow",2026-06-16
What is the college's policy on plagiarism?,"The college has a strict academic integrity policy that prohibits plagiarism, and students caught are subject to disciplinary action.",Exams,"college, policy, plagiarism, has, strict, academic, integrity, that, prohibits, students",2026-06-16
Can I work on campus as a student?,"The Students' Union is working on a work-study scheme, and some departments may have informal opportunities for students",Student Affairs,"work, campus, student, students, union, working, study, scheme, some, departments",2026-06-16
How do I check my admission status?,Candidates can check their admission status on the JAMB CAPS portal and the Yabatech admission portal.,Admission,"check, admission, status, candidates, their, jamb, caps, portal, yabatech",2026-06-16
What is the difference between ND and HND?,"ND (National Diploma) is the initial two-year program, while HND (Higher National Diploma) is a further two-year program for ND graduates after industrial training.",Academic Programs,"difference, between, hnd, national, diploma, initial, two, year, program, while",2026-06-16
Is Yabatech competitive to get into?,"Yes, as one of the top polytechnics in Nigeria, admission into Yabatech is highly competitive.[4]",Admission,"yabatech, competitive, get, into, yes, one, top, polytechnics, nigeria, admission",2026-06-16
What is the 'Nominal Roll' mentioned in the academic calendar?,The nominal roll is the official list of registered students who are eligible to sit for the semester's examinations.[18],Exams,"nominal, roll, mentioned, academic, calendar, official, list, registered, students, eligible",2026-06-16
Does the school have a policy on medical leave for students?,Students who need to take medical leave must provide a valid medical report and follow the official procedure through the medical center and their department.,Student Affairs,"school, have, policy, medical, leave, students, need, take, must, provide",2026-06-16
How is the CGPA calculated?,The Cumulative Grade Point Average (CGPA) is calculated based on the grade points and credit units of all the courses a student has taken.,Exams,"cgpa, calculated, cumulative, grade, point, average, based, points, credit, units",2026-06-16
What is the minimum CGPA to graduate with a good grade?,"The grading system is specified in the student handbook, with different CGPA ranges corresponding to Distinction, Upper Credit, Lower Credit, and Pass.",Exams,"minimum, cgpa, graduate, good, grade, grading, system, specified, student, handbook",2026-06-16
Are there special considerations for students with disabilities?,"The college provides support for students with special needs, and such students are encouraged to register with the student affairs office.",Student Affairs,"there, special, considerations, students, disabilities, college, provides, support, needs, such",2026-06-16
How can my parents or guardians monitor my academic progress?,Academic progress can be monitored through the semester results released on the student portal.,General,"parents, guardians, monitor, academic, progress, monitored, through, semester, results, released",2026-06-16
What is the procedure to appeal an academic decision or result?,Students who wish to appeal a result can follow the official procedure for academic appeals as outlined by the registry and their department.,Exams,"procedure, appeal, academic, decision, result, students, wish, follow, official, appeals",2026-06-16
Is there an orientation program for new students?,"Yes, an orientation program is organized for all fresh students to introduce them to the college's rules, facilities, and academic life.",General,"there, orientation, program, new, students, yes, organized, all, fresh, introduce",2026-06-16
unknown,"I am sorry, I do not have information on that yet. Please visit the YABATECH portal at yabatech.edu.ng, call +234-7037431055, or email registrar@yabatech.edu.ng for assistance.",Fallback,"unknown, fallback, no answer, sorry",2026-05-27
What is YABATECH?,"Yaba College of Technology (YABATECH) is Nigeria's first higher educational institution, founded in 1947 and located in Yaba, Lagos. It offers ND, HND, Post-HND and B.Sc.(Ed) degree programmes across 9 schools and numerous departments.",General,"YABATECH, what is, overview, about, first institution",2026-05-27
